tipo_muni_2,razon,puntos,gana_pierde
< 2.000 habitantes,2003,95.1615114539309,pierde
< 2.000 habitantes,2021,91.9243705571626,pierde
2.001 a 5.000,2003,98.5939964413197,pierde
2.001 a 5.000,2021,98.0469767165205,pierde
5.001 a 10.000,2003,99.1543020041982,gana
5.001 a 10.000,2021,99.6125250324175,gana
10.001 a 20.000,2003,100.226080817994,gana
10.001 a 20.000,2021,101.202097503921,gana
20.001 a 50.000,2003,100.298142884232,gana
20.001 a 50.000,2021,101.842706791392,gana
50.001 a 100.000,2003,102.427472782679,gana
50.001 a 100.000,2021,104.507229937738,gana
100.001 a 500.000,2003,105.667645690858,gana
100.001 a 500.000,2021,107.822860083078,gana
500.000+,2003,111.178521300821,gana
500.000+,2021,111.890920504682,gana
Media nacional,2003,103.082637399458,gana
Media nacional,2021,104.044278951088,gana